citizenId,age,gender,archetype,socialCreditScore,trust,fear,altruism,ambition,curiosity,routine,riskAverse,techSavvy,socialEngagement,healthConsciousness
ALPHA-22-724,38,Female,The Community Builder,71.4850,0.6184,0.3454,0.8894,0.3431,0.8083,0.7566,0.8559,0.8235,0.7418,0.6067
ALPHA-53-876,44,Female,The Community Builder,67.6952,0.7048,0.5970,0.8189,0.2619,0.1165,0.7487,0.1349,0.8850,0.9007,0.6181
ALPHA-37-146,16,Female,The Stoic Engineer,63.4213,0.6875,0.4128,0.2302,0.6360,0.7961,0.8015,0.7068,0.8342,0.3112,0.7028
ALPHA-10-999,45,Male,The Ambitious Entrepreneur,58.1790,0.6049,0.5617,0.6722,0.7777,0.3982,0.5183,0.2310,0.7095,0.6349,0.7825
ALPHA-26-046,49,Male,The Disillusioned Artist,55.6981,0.3530,0.5532,0.6291,0.6718,0.7875,0.1990,0.5875,0.2446,0.3215,0.7407
ALPHA-94-679,31,Male,The Cautious Observer,70.6886,0.4837,0.7568,0.8352,0.4049,0.2615,0.6551,0.8098,0.4259,0.3148,0.3514
ALPHA-89-224,50,Male,The Cautious Observer,68.9275,0.4482,0.9387,0.6609,0.5156,0.3740,0.6468,0.8228,0.1913,0.2733,0.3558
ALPHA-47-719,25,Male,The Ambitious Entrepreneur,54.4775,0.6990,0.5683,0.5830,0.8191,0.2168,0.4645,0.1671,0.8368,0.8082,0.6441
ALPHA-24-614,30,Female,The Stoic Engineer,75.7950,0.4852,0.3950,0.8148,0.8970,0.7248,0.6952,0.7504,0.8044,0.2456,0.7759
ALPHA-52-776,28,Female,The Idealistic Activist,62.4767,0.8783,0.1187,0.8151,0.4173,0.7290,0.3829,0.4102,0.4945,0.6343,0.3026
ALPHA-84-909,62,Male,The Idealistic Activist,61.7281,0.7501,0.4312,0.7468,0.2814,0.6703,0.2243,0.4432,0.4757,0.6092,0.3421
ALPHA-23-856,63,Female,The Ambitious Entrepreneur,43.6035,0.1894,0.2453,0.7947,0.8520,0.3672,0.4537,0.1856,0.7373,0.7168,0.2374
ALPHA-06-808,31,Female,The Disillusioned Artist,37.3219,0.3227,0.7285,0.4143,0.6689,0.9094,0.1597,0.2989,0.4057,0.3609,0.2086
ALPHA-73-060,46,Female,The Idealistic Activist,56.6542,0.7758,0.7992,0.7215,0.5719,0.5448,0.2637,0.4748,0.5116,0.6214,0.1750
ALPHA-01-608,57,Male,The Ambitious Entrepreneur,47.3387,0.2977,0.7199,0.1001,0.7591,0.8516,0.3579,0.1707,0.8634,0.7303,0.5681
ALPHA-71-116,62,Male,The Ambitious Entrepreneur,62.5920,0.8094,0.8154,0.7196,0.8324,0.3989,0.5734,0.2790,0.6611,0.6110,0.6171
ALPHA-66-261,45,Female,The Ambitious Entrepreneur,56.2552,0.7107,0.1306,0.7008,0.8997,0.1265,0.3518,0.3367,0.7349,0.6350,0.3336
ALPHA-47-755,53,Female,The Community Builder,67.6190,0.7761,0.5134,0.7492,0.6144,0.7355,0.5790,0.7149,0.7949,0.7683,0.5427
ALPHA-22-922,26,Male,The Disillusioned Artist,52.8399,0.1623,0.5344,0.6038,0.1757,0.8579,0.1536,0.5096,0.7969,0.2524,0.7457
ALPHA-48-709,31,Female,The Cautious Observer,65.9090,0.2104,0.8910,0.6179,0.6982,0.7228,0.8097,0.7334,0.3845,0.3232,0.7558
ALPHA-79-589,28,Male,The Ambitious Entrepreneur,59.8889,0.5988,0.5337,0.8643,0.8618,0.1678,0.3938,0.1721,0.6131,0.7125,0.4475
ALPHA-33-461,27,Male,The Cautious Observer,72.7906,0.3498,0.8005,0.5887,0.3491,0.6176,0.7205,0.9566,0.4353,0.1870,0.8017
ALPHA-42-531,19,Male,The Disillusioned Artist,51.3394,0.1552,0.8838,0.6634,0.7054,0.8929,0.1675,0.5382,0.7416,0.2049,0.4886
ALPHA-92-663,39,Female,The Disillusioned Artist,57.1356,0.1379,0.5015,0.7584,0.1195,0.7803,0.3549,0.5180,0.1109,0.4481,0.8772
ALPHA-80-990,41,Female,The Idealistic Activist,59.6216,0.5989,0.6589,0.7658,0.8905,0.7629,0.2121,0.2464,0.3214,0.6716,0.5949
ALPHA-56-049,63,Female,The Ambitious Entrepreneur,60.0914,0.2364,0.2063,0.7241,0.8654,0.8919,0.6441,0.1403,0.8741,0.6573,0.8836
ALPHA-24-130,56,Female,The Stoic Engineer,68.3713,0.5021,0.4773,0.8359,0.2842,0.8934,0.7564,0.5310,0.9749,0.2365,0.7046
ALPHA-90-322,33,Female,The Cautious Observer,60.3763,0.2961,0.7202,0.7083,0.3245,0.8428,0.8629,0.8467,0.6731,0.2983,0.2906
ALPHA-19-722,23,Male,The Idealistic Activist,62.6180,0.5476,0.7337,0.8872,0.3062,0.1287,0.3913,0.2661,0.8476,0.9121,0.4798
ALPHA-33-659,16,Male,The Cautious Observer,63.1765,0.4290,0.7852,0.2616,0.1838,0.1555,0.6110,0.8746,0.8873,0.3028,0.7741
ALPHA-44-478,35,Female,The Stoic Engineer,62.2256,0.5732,0.3011,0.3021,0.7984,0.6720,0.8252,0.8929,0.9497,0.3941,0.1707
ALPHA-57-445,57,Female,The Stoic Engineer,73.4074,0.4221,0.2719,0.8390,0.4277,0.7174,0.7077,0.8496,0.7451,0.1502,0.4909
ALPHA-41-468,51,Male,The Cautious Observer,57.3403,0.3104,0.6957,0.3372,0.2489,0.6119,0.6586,0.9253,0.6870,0.3102,0.3556
ALPHA-59-257,22,Female,The Community Builder,71.1635,0.7001,0.2676,0.8908,0.4017,0.6550,0.7357,0.3119,0.1320,0.7873,0.7948
ALPHA-63-770,22,Female,The Cautious Observer,63.1106,0.4000,0.8696,0.2701,0.6234,0.1491,0.8650,0.8849,0.2251,0.3915,0.4107
ALPHA-42-005,44,Male,The Idealistic Activist,62.1551,0.5006,0.8071,0.8154,0.4670,0.1029,0.3244,0.4226,0.3967,0.7621,0.8917
ALPHA-05-037,16,Male,The Community Builder,69.2993,0.6192,0.4204,0.9645,0.4347,0.4120,0.5198,0.4131,0.5850,0.8752,0.6926
ALPHA-13-700,38,Male,The Cautious Observer,72.9352,0.2563,0.9091,0.5064,0.3787,0.2422,0.8673,0.8881,0.6379,0.2013,0.8843
ALPHA-09-991,24,Male,The Cautious Observer,59.4739,0.2297,0.6126,0.2633,0.5330,0.3627,0.8212,0.7483,0.4335,0.2743,0.7748
ALPHA-00-880,23,Male,The Ambitious Entrepreneur,52.3168,0.2793,0.2861,0.3944,0.7991,0.2551,0.6128,0.3533,0.7623,0.7696,0.2020
ALPHA-98-988,33,Male,The Ambitious Entrepreneur,41.5223,0.1498,0.4619,0.3923,0.9670,0.1870,0.5103,0.1126,0.7609,0.6829,0.4497
ALPHA-87-160,41,Male,The Stoic Engineer,72.7183,0.5236,0.3396,0.6242,0.5661,0.7578,0.8263,0.7204,0.8615,0.2262,0.8249
ALPHA-17-371,65,Female,The Ambitious Entrepreneur,54.1235,0.1155,0.5369,0.6126,0.7059,0.2403,0.6445,0.3745,0.6832,0.6628,0.2820
ALPHA-93-691,38,Male,The Ambitious Entrepreneur,47.9824,0.3631,0.7024,0.2882,0.8582,0.4160,0.4905,0.1562,0.6378,0.5235,0.6899
ALPHA-09-226,47,Male,The Cautious Observer,62.2149,0.2840,0.9304,0.7758,0.4880,0.3131,0.8943,0.7005,0.2085,0.1834,0.2545
ALPHA-03-001,39,Male,The Cautious Observer,61.6128,0.3509,0.8034,0.5665,0.6973,0.6865,0.7092,0.9765,0.6515,0.2266,0.3940
ALPHA-98-000,16,Male,The Cautious Observer,64.5611,0.4823,0.9291,0.3415,0.5657,0.4127,0.6364,0.7832,0.3720,0.1787,0.5817
ALPHA-97-668,71,Male,The Ambitious Entrepreneur,56.7987,0.3696,0.1780,0.5094,0.7053,0.4711,0.5651,0.2240,0.7190,0.6298,0.8212
ALPHA-11-236,16,Female,The Disillusioned Artist,64.0388,0.4957,0.8700,0.7771,0.4132,0.8837,0.3573,0.4724,0.3954,0.4625,0.5215
ALPHA-68-381,23,Female,The Stoic Engineer,70.7707,0.3724,0.2976,0.7726,0.8337,0.7752,0.8651,0.5954,0.7007,0.1180,0.8431
ALPHA-62-373,27,Male,The Disillusioned Artist,55.9112,0.4636,0.5590,0.7483,0.5266,0.9586,0.3908,0.5823,0.1467,0.3729,0.1865
ALPHA-34-843,52,Male,The Cautious Observer,60.8184,0.2873,0.7238,0.6726,0.1936,0.6366,0.6348,0.9675,0.4927,0.2773,0.2484
ALPHA-12-234,39,Male,The Idealistic Activist,63.7191,0.8764,0.2285,0.9020,0.1536,0.8899,0.1379,0.2780,0.7328,0.7342,0.4260
ALPHA-31-984,41,Male,The Disillusioned Artist,53.0454,0.4587,0.6702,0.6335,0.5412,0.9541,0.1965,0.4670,0.3535,0.2226,0.1707
ALPHA-42-951,60,Female,The Stoic Engineer,71.2286,0.3636,0.2891,0.8367,0.4681,0.8766,0.8625,0.8739,0.8099,0.1497,0.3066
ALPHA-12-982,33,Male,The Disillusioned Artist,50.4001,0.1727,0.7632,0.7480,0.6694,0.8437,0.1031,0.2991,0.4531,0.5658,0.3896
ALPHA-35-758,48,Female,The Disillusioned Artist,48.0416,0.1961,0.5873,0.4744,0.6450,0.7156,0.1840,0.3742,0.5704,0.5164,0.8781
ALPHA-25-330,63,Female,The Disillusioned Artist,63.5940,0.3477,0.8466,0.7204,0.6337,0.9023,0.2955,0.5444,0.2997,0.5389,0.8235
ALPHA-73-065,36,Male,The Disillusioned Artist,56.2838,0.1161,0.6514,0.7051,0.8830,0.9801,0.3415,0.3764,0.3200,0.2002,0.7572
ALPHA-32-871,41,Female,The Community Builder,75.0520,0.8840,0.3205,0.7891,0.7953,0.7600,0.5369,0.5039,0.8441,0.9128,0.8646
ALPHA-84-020,27,Male,The Disillusioned Artist,55.1998,0.3589,0.8696,0.4620,0.6980,0.8395,0.2347,0.5695,0.6725,0.5269,0.7560
ALPHA-29-937,23,Male,The Ambitious Entrepreneur,55.9234,0.5291,0.8024,0.3241,0.9242,0.2995,0.4385,0.3788,0.9092,0.6203,0.5945
ALPHA-37-858,32,Male,The Cautious Observer,76.7096,0.3997,0.6062,0.7959,0.2037,0.5927,0.8880,0.7801,0.4699,0.1300,0.6833
ALPHA-90-284,21,Female,The Stoic Engineer,65.8963,0.4283,0.3167,0.8398,0.4823,0.9322,0.6342,0.5732,0.9588,0.2779,0.5288
ALPHA-51-383,43,Male,The Idealistic Activist,60.4668,0.8732,0.5622,0.7227,0.4559,0.5039,0.4744,0.4189,0.6872,0.7146,0.3895
ALPHA-32-287,42,Female,The Ambitious Entrepreneur,65.5186,0.7914,0.8405,0.5569,0.9685,0.2540,0.4694,0.3824,0.7015,0.6276,0.6219
ALPHA-01-576,16,Female,The Community Builder,72.2812,0.6031,0.6418,0.8808,0.4118,0.2027,0.4609,0.8101,0.3173,0.9517,0.5236
ALPHA-47-710,52,Male,The Cautious Observer,64.3723,0.4596,0.6348,0.6489,0.1040,0.5079,0.8382,0.8424,0.6574,0.3385,0.1704
ALPHA-16-228,24,Female,The Community Builder,75.1277,0.8865,0.5999,0.8754,0.3967,0.8472,0.5931,0.6899,0.5476,0.7343,0.5029
ALPHA-13-913,52,Male,The Idealistic Activist,58.5873,0.8312,0.1026,0.8470,0.8308,0.3759,0.4336,0.3860,0.6915,0.7447,0.2839
ALPHA-38-645,67,Male,The Ambitious Entrepreneur,49.6476,0.3343,0.3556,0.2690,0.7382,0.5352,0.3404,0.3492,0.7803,0.5109,0.7216
ALPHA-15-465,33,Male,The Stoic Engineer,64.3715,0.5727,0.3096,0.2259,0.1130,0.8503,0.7254,0.6120,0.9636,0.3306,0.7652
ALPHA-78-206,43,Female,The Stoic Engineer,56.9784,0.5693,0.4437,0.3229,0.1762,0.8459,0.8453,0.7781,0.9759,0.3594,0.1897
ALPHA-88-391,65,Female,The Stoic Engineer,61.7111,0.4600,0.2744,0.7069,0.6033,0.6671,0.6355,0.5709,0.9148,0.3621,0.6584
ALPHA-76-317,69,Female,The Disillusioned Artist,59.7078,0.4487,0.8736,0.7560,0.6252,0.7422,0.3870,0.3955,0.6391,0.2839,0.3551
ALPHA-09-335,72,Male,The Stoic Engineer,58.3081,0.6025,0.3608,0.1282,0.3390,0.8804,0.6354,0.7381,0.7805,0.3702,0.4507
ALPHA-29-877,47,Female,The Community Builder,69.9800,0.7495,0.7918,0.9115,0.8162,0.7650,0.4668,0.3818,0.7549,0.9360,0.7730
ALPHA-31-429,40,Male,The Idealistic Activist,56.4493,0.5697,0.1273,0.7988,0.4138,0.4705,0.3111,0.2087,0.5758,0.7025,0.6776
ALPHA-66-960,43,Female,The Community Builder,80.1606,0.6712,0.7404,0.7585,0.7737,0.2812,0.7187,0.7103,0.2956,0.7029,0.8240
ALPHA-62-455,23,Male,The Ambitious Entrepreneur,38.1273,0.2364,0.5744,0.3409,0.7112,0.3550,0.3295,0.3151,0.8121,0.7445,0.1676
ALPHA-58-055,35,Male,The Idealistic Activist,61.9123,0.7270,0.2149,0.8867,0.6329,0.4684,0.1883,0.4258,0.6032,0.9235,0.8671
ALPHA-57-244,33,Male,The Disillusioned Artist,56.2703,0.3127,0.5318,0.5586,0.8021,0.9599,0.2390,0.3383,0.6018,0.3844,0.7458
ALPHA-17-866,38,Female,The Idealistic Activist,63.3106,0.6105,0.6188,0.8742,0.3923,0.5767,0.1058,0.3944,0.4336,0.8040,0.8945
ALPHA-90-160,43,Male,The Disillusioned Artist,54.8216,0.4268,0.8541,0.7985,0.4150,0.7045,0.3200,0.5383,0.4311,0.5485,0.4651
ALPHA-42-649,16,Female,The Stoic Engineer,64.4709,0.5002,0.3816,0.2486,0.1902,0.9194,0.9200,0.7371,0.7491,0.3610,0.7877
ALPHA-42-183,25,Male,The Community Builder,71.6066,0.7331,0.4942,0.8270,0.4891,0.5510,0.7127,0.4149,0.8882,0.9876,0.8893
ALPHA-45-990,37,Male,The Stoic Engineer,67.9153,0.6121,0.3628,0.8201,0.6604,0.9003,0.6403,0.5921,0.9599,0.1962,0.3429
ALPHA-38-223,49,Female,The Disillusioned Artist,39.2638,0.1340,0.7653,0.6374,0.1588,0.9787,0.2237,0.2203,0.6408,0.5825,0.1177
ALPHA-66-568,22,Female,The Cautious Observer,70.6723,0.4794,0.6286,0.6052,0.3343,0.8204,0.8745,0.7211,0.8846,0.1646,0.4220
ALPHA-43-034,27,Male,The Ambitious Entrepreneur,55.9163,0.8829,0.2237,0.5859,0.9389,0.6923,0.4908,0.1471,0.7695,0.8060,0.2992
ALPHA-96-862,56,Male,The Ambitious Entrepreneur,43.4985,0.5811,0.7532,0.4308,0.9378,0.4067,0.3398,0.2794,0.8258,0.5420,0.2333
ALPHA-89-437,52,Female,The Ambitious Entrepreneur,47.4366,0.1417,0.2355,0.1810,0.8889,0.4881,0.4620,0.1508,0.7564,0.5298,0.7622
ALPHA-41-492,36,Male,The Cautious Observer,57.0058,0.2020,0.7599,0.2822,0.7031,0.2354,0.6907,0.7474,0.2175,0.1563,0.7008
ALPHA-72-456,27,Male,The Community Builder,78.3873,0.6393,0.3228,0.9140,0.5474,0.1495,0.5461,0.7626,0.3537,0.8515,0.8977
ALPHA-34-446,61,Female,The Disillusioned Artist,53.8920,0.4992,0.8158,0.4162,0.4869,0.9536,0.2865,0.5590,0.8550,0.4103,0.7666
ALPHA-52-189,51,Male,The Idealistic Activist,66.0353,0.7156,0.5154,0.7866,0.5252,0.5406,0.2550,0.4328,0.4923,0.8814,0.8995
ALPHA-72-406,35,Male,The Disillusioned Artist,47.1206,0.3561,0.8851,0.6295,0.5940,0.9841,0.1174,0.5180,0.1223,0.3010,0.2903
ALPHA-32-770,49,Male,The Community Builder,71.2631,0.8864,0.3184,0.8354,0.5679,0.6188,0.4346,0.3302,0.4052,0.9889,0.7222
ALPHA-24-937,61,Female,The Ambitious Entrepreneur,46.5171,0.6194,0.4935,0.1216,0.7418,0.8957,0.3544,0.2829,0.8790,0.7230,0.3734
ALPHA-14-803,23,Male,The Cautious Observer,71.0106,0.4291,0.8431,0.7976,0.2446,0.3376,0.7194,0.9180,0.5224,0.2067,0.5816
ALPHA-65-152,49,Male,The Idealistic Activist,58.7229,0.7830,0.1057,0.7483,0.2984,0.6731,0.2022,0.3297,0.5116,0.7493,0.7988
ALPHA-49-866,29,Male,The Cautious Observer,57.0822,0.3567,0.6247,0.4082,0.4605,0.2423,0.7769,0.7495,0.8512,0.1237,0.1063
ALPHA-41-464,32,Male,The Stoic Engineer,65.0698,0.5166,0.3626,0.1209,0.7824,0.8602,0.8305,0.8531,0.7830,0.1307,0.3681
ALPHA-86-763,43,Male,The Cautious Observer,69.2356,0.4613,0.7417,0.6141,0.7703,0.1032,0.6348,0.7848,0.2965,0.2470,0.4817
ALPHA-12-644,46,Male,The Community Builder,58.7878,0.6488,0.6812,0.7680,0.8148,0.5938,0.4469,0.3038,0.4477,0.7003,0.7435
ALPHA-41-725,61,Female,The Cautious Observer,55.2239,0.3607,0.7489,0.1351,0.1280,0.6591,0.6555,0.9255,0.7957,0.3093,0.2793
ALPHA-97-094,47,Female,The Ambitious Entrepreneur,50.7458,0.2805,0.8634,0.6485,0.9080,0.3293,0.4231,0.1419,0.8472,0.6503,0.7722
ALPHA-11-627,22,Male,The Ambitious Entrepreneur,51.9132,0.7285,0.8850,0.1556,0.7847,0.4754,0.6808,0.1336,0.7136,0.6768,0.5460
ALPHA-69-824,59,Female,The Stoic Engineer,70.7021,0.4766,0.3249,0.4808,0.2658,0.9232,0.8457,0.7859,0.9156,0.3134,0.6314
ALPHA-85-460,25,Female,The Ambitious Entrepreneur,57.9490,0.4021,0.4794,0.7691,0.9076,0.3026,0.3775,0.3832,0.8659,0.7024,0.6646
ALPHA-82-421,62,Female,The Disillusioned Artist,56.9503,0.4954,0.6797,0.5104,0.3420,0.9894,0.2852,0.4389,0.2706,0.2856,0.8830
ALPHA-70-147,36,Female,The Stoic Engineer,55.4790,0.6103,0.4286,0.3107,0.1772,0.6463,0.6146,0.5914,0.9668,0.2282,0.2727
ALPHA-96-281,34,Male,The Stoic Engineer,60.2216,0.5964,0.4382,0.2154,0.1738,0.7047,0.6047,0.6992,0.7579,0.1295,0.4140
ALPHA-67-790,53,Male,The Cautious Observer,71.5069,0.2031,0.8182,0.7394,0.6685,0.2466,0.8602,0.8565,0.6742,0.3249,0.7278
ALPHA-05-260,35,Male,The Stoic Engineer,55.0907,0.5708,0.2370,0.3577,0.4809,0.8907,0.6160,0.7365,0.9717,0.3525,0.2651
ALPHA-67-317,61,Female,The Disillusioned Artist,46.5809,0.3052,0.6602,0.4668,0.8416,0.9611,0.1475,0.3085,0.6048,0.4586,0.8265
ALPHA-32-087,31,Male,The Disillusioned Artist,49.3366,0.2138,0.7700,0.4629,0.6234,0.7488,0.1944,0.3488,0.2725,0.3818,0.7882
ALPHA-60-414,53,Female,The Disillusioned Artist,65.1456,0.4977,0.8391,0.6708,0.7621,0.7802,0.3180,0.5601,0.2698,0.4512,0.7742
ALPHA-54-729,56,Female,The Cautious Observer,64.5393,0.2517,0.8542,0.5670,0.3672,0.3631,0.7761,0.9612,0.5855,0.2342,0.1240
ALPHA-73-923,51,Male,The Disillusioned Artist,47.9607,0.2064,0.7430,0.4691,0.8086,0.9557,0.3387,0.5114,0.7976,0.5231,0.6572
ALPHA-01-432,67,Male,The Disillusioned Artist,47.2382,0.4466,0.5971,0.6005,0.4127,0.9698,0.1707,0.3042,0.6268,0.3319,0.1828
ALPHA-50-188,58,Female,The Cautious Observer,63.0409,0.3513,0.9455,0.6346,0.7124,0.4459,0.8789,0.8664,0.3803,0.3700,0.4315
ALPHA-17-391,47,Female,The Disillusioned Artist,49.6998,0.4374,0.5867,0.6651,0.1531,0.8146,0.2486,0.4375,0.4729,0.3838,0.4045
ALPHA-18-039,49,Female,The Stoic Engineer,65.1396,0.3374,0.2838,0.8373,0.8139,0.7717,0.6088,0.8304,0.8217,0.1285,0.2198
ALPHA-24-609,16,Male,The Idealistic Activist,56.9150,0.6580,0.1988,0.8415,0.6627,0.2627,0.2215,0.3512,0.8547,0.8983,0.3573
ALPHA-21-192,39,Male,The Community Builder,76.8065,0.6790,0.5792,0.9260,0.6622,0.7248,0.7422,0.8568,0.1965,0.8434,0.6081
ALPHA-01-014,36,Female,The Community Builder,72.1383,0.7109,0.5624,0.9085,0.6380,0.8156,0.4887,0.5759,0.3216,0.9071,0.7357
ALPHA-94-900,34,Female,The Cautious Observer,67.1693,0.4500,0.6902,0.2632,0.4747,0.5980,0.6903,0.9536,0.1996,0.1577,0.8662
ALPHA-08-784,29,Female,The Disillusioned Artist,50.0580,0.1905,0.5150,0.6624,0.3588,0.8065,0.1306,0.3229,0.3092,0.3640,0.6502
ALPHA-15-357,30,Female,The Ambitious Entrepreneur,58.4780,0.2111,0.2653,0.8251,0.9701,0.5919,0.6879,0.2327,0.7374,0.8845,0.6737
ALPHA-35-732,32,Male,The Ambitious Entrepreneur,45.6744,0.3113,0.2698,0.1897,0.7339,0.2938,0.4883,0.1468,0.6251,0.8956,0.2950
ALPHA-63-798,70,Female,The Community Builder,73.9402,0.7821,0.2685,0.7317,0.7328,0.5514,0.4136,0.5149,0.2127,0.9686,0.8822
ALPHA-67-351,37,Male,The Idealistic Activist,54.3959,0.5981,0.4293,0.7285,0.1785,0.7507,0.2663,0.2803,0.7474,0.8541,0.1864
ALPHA-74-961,16,Female,The Community Builder,75.0956,0.8744,0.6006,0.9745,0.3176,0.7658,0.6587,0.2927,0.5085,0.9453,0.7636
ALPHA-15-676,26,Female,The Stoic Engineer,66.6446,0.5368,0.4851,0.5865,0.3292,0.6754,0.7645,0.6387,0.7093,0.3551,0.4011
ALPHA-80-495,60,Male,The Stoic Engineer,50.2642,0.6471,0.3236,0.2280,0.3802,0.7447,0.6759,0.6360,0.9246,0.2395,0.1026
ALPHA-71-820,44,Male,The Idealistic Activist,60.4925,0.8890,0.5889,0.8850,0.1794,0.1056,0.2010,0.3490,0.7667,0.9451,0.1717
ALPHA-54-379,52,Female,The Ambitious Entrepreneur,60.1268,0.2634,0.4359,0.7492,0.9386,0.3587,0.5032,0.1697,0.7096,0.5557,0.8077
ALPHA-40-839,42,Female,The Ambitious Entrepreneur,55.8331,0.8509,0.5050,0.2444,0.9148,0.2868,0.4611,0.3074,0.9354,0.8733,0.2401
ALPHA-70-146,41,Female,The Community Builder,65.8593,0.7928,0.8529,0.9128,0.5376,0.5362,0.4980,0.2564,0.2421,0.7376,0.8140
ALPHA-66-164,24,Male,The Disillusioned Artist,48.8582,0.1251,0.5365,0.4966,0.2811,0.8103,0.2627,0.3495,0.5847,0.5150,0.5992
ALPHA-36-516,40,Male,The Stoic Engineer,55.5897,0.4784,0.3592,0.1954,0.5111,0.7067,0.8031,0.5821,0.8917,0.3789,0.5481
ALPHA-72-289,56,Male,The Stoic Engineer,58.5904,0.5017,0.2946,0.6034,0.6589,0.9491,0.7396,0.5730,0.7850,0.2220,0.3850
ALPHA-24-717,55,Female,The Community Builder,75.5313,0.7691,0.8958,0.9190,0.3290,0.3420,0.7106,0.4406,0.2715,0.8415,0.8786
ALPHA-44-322,77,Male,The Stoic Engineer,73.4271,0.4692,0.3470,0.5246,0.7793,0.8349,0.9395,0.7996,0.8770,0.2184,0.8436
ALPHA-32-501,53,Male,The Idealistic Activist,70.1007,0.8302,0.2172,0.9475,0.4694,0.8840,0.3402,0.3908,0.4697,0.6383,0.7421
ALPHA-82-448,27,Male,The Stoic Engineer,72.6905,0.6968,0.4492,0.7226,0.6567,0.8743,0.6431,0.8336,0.7760,0.3688,0.6652
ALPHA-14-092,17,Female,The Idealistic Activist,61.7568,0.6151,0.7052,0.7743,0.7902,0.7496,0.3349,0.2799,0.1934,0.7376,0.6877
ALPHA-82-291,46,Female,The Community Builder,78.1858,0.8990,0.3500,0.7903,0.4319,0.3426,0.6544,0.7443,0.6644,0.9141,0.5219
ALPHA-10-059,47,Female,The Disillusioned Artist,47.0817,0.2070,0.5709,0.4098,0.2703,0.9866,0.3515,0.5204,0.4906,0.4569,0.3541
ALPHA-81-909,57,Female,The Ambitious Entrepreneur,44.1863,0.3795,0.8276,0.1410,0.7913,0.8169,0.5571,0.2858,0.9083,0.8869,0.5179
ALPHA-10-255,45,Female,The Stoic Engineer,67.6019,0.5428,0.4706,0.7158,0.2472,0.8726,0.7375,0.5058,0.9706,0.1114,0.8721
ALPHA-08-792,16,Male,The Cautious Observer,66.4448,0.4470,0.6596,0.3176,0.6128,0.5637,0.7639,0.9082,0.2401,0.2269,0.7796
ALPHA-70-665,29,Male,The Disillusioned Artist,51.8683,0.4083,0.7507,0.7188,0.7765,0.8076,0.3447,0.3116,0.1770,0.4666,0.4741
ALPHA-93-105,51,Male,The Stoic Engineer,66.6754,0.4397,0.4507,0.8976,0.5411,0.6815,0.7915,0.5523,0.7930,0.3936,0.6100
ALPHA-69-082,23,Female,The Community Builder,61.5466,0.7008,0.6386,0.8621,0.5656,0.2907,0.5819,0.1784,0.3478,0.7785,0.6103
ALPHA-09-198,42,Female,The Stoic Engineer,66.0897,0.3979,0.3984,0.8579,0.5707,0.9342,0.8900,0.8584,0.9604,0.1131,0.1251
ALPHA-97-592,63,Male,The Community Builder,77.3603,0.8581,0.3424,0.8800,0.2287,0.7817,0.5935,0.8900,0.8102,0.9192,0.5343
ALPHA-23-086,41,Male,The Cautious Observer,69.1637,0.3092,0.9483,0.4605,0.4121,0.8074,0.7545,0.8563,0.4863,0.2568,0.8204
ALPHA-29-689,53,Female,The Idealistic Activist,63.4752,0.5653,0.8409,0.8794,0.2626,0.6644,0.4696,0.3924,0.5854,0.6079,0.4865
ALPHA-15-658,35,Female,The Idealistic Activist,53.5824,0.8518,0.1381,0.8902,0.4133,0.1574,0.1780,0.4060,0.7752,0.7922,0.2214
ALPHA-64-538,44,Male,The Cautious Observer,70.3861,0.4897,0.6893,0.3845,0.2337,0.7855,0.8701,0.8668,0.3270,0.2553,0.6547
ALPHA-90-634,16,Male,The Idealistic Activist,64.2795,0.5370,0.2240,0.9630,0.8621,0.5235,0.3923,0.4759,0.1357,0.8487,0.5499
ALPHA-63-995,42,Male,The Community Builder,79.5338,0.8216,0.1495,0.7417,0.4557,0.1107,0.7805,0.7361,0.8594,0.7618,0.8805
ALPHA-72-510,26,Female,The Cautious Observer,62.9380,0.2506,0.6654,0.6186,0.4867,0.5472,0.8699,0.8836,0.5588,0.2954,0.2792
ALPHA-61-457,32,Male,The Community Builder,69.8585,0.7033,0.7816,0.9441,0.6185,0.8126,0.4292,0.3494,0.4259,0.8625,0.7576
ALPHA-02-837,47,Female,The Cautious Observer,60.8420,0.2824,0.6107,0.5413,0.6072,0.7786,0.8078,0.7108,0.3686,0.1947,0.5934
ALPHA-06-820,45,Male,The Stoic Engineer,59.9444,0.5512,0.2375,0.1284,0.8875,0.8647,0.6020,0.8725,0.7811,0.1777,0.7566
ALPHA-02-610,42,Male,The Idealistic Activist,55.2423,0.5914,0.8343,0.8239,0.4867,0.3538,0.3921,0.4657,0.1998,0.9120,0.4059
ALPHA-46-230,33,Male,The Cautious Observer,71.8612,0.3052,0.7721,0.5203,0.2258,0.2351,0.7433,0.9271,0.8704,0.3097,0.6389
ALPHA-25-988,53,Male,The Community Builder,68.7103,0.6295,0.1075,0.9537,0.5463,0.8143,0.4941,0.1864,0.2094,0.7800,0.6818
ALPHA-27-228,30,Male,The Disillusioned Artist,42.4438,0.1389,0.5549,0.5810,0.4697,0.8920,0.2537,0.2050,0.3227,0.2952,0.1781
ALPHA-30-571,37,Male,The Stoic Engineer,70.9545,0.6035,0.3892,0.4209,0.5619,0.8307,0.8525,0.7660,0.8532,0.2379,0.7983
