citizen_id,digital_soul_hash,birth_date,age,gender,life_stage,archetype,memory_event_type,memory_narrative,memory_age_at_event,memory_emotional_weight,trust,fear,altruism,ambition,curiosity,social_credit_score,insurance_risk_tier,routine,risk_averse,tech_savvy,social_engagement,health_consciousness
DELTA-20-815,00a9885d9da9f6b4b54145d71f4a9740,1946-03-14,80,Male,Retirement,The Disillusioned Artist,discovery,First time coding 'Hello World' and feeling infinite possibility during the autumn of my youth.,22,0.7529251143066442,0.33178102486596994,0.3993532184245865,0.4495782833877076,0.5276897323384667,1.0,40.999880427788305,Elevated,0.3,0.2,0.6,0.6295780238585362,0.3080390453102194
DELTA-19-630,f3df9709c4781cb44f615e6539fc9c51,1987-09-26,39,Male,Mid-Career,The Traditional Elder,personal_failure,"Business collapsing in year one, rebuilding from zero on a Tuesday I'll never forget.",23,0.747922833095847,0.5409600320069019,0.4210912730018247,0.48711141489992793,0.6079392134828652,0.8364290772279763,58.09061262242546,Standard,0.9,0.9,0.3,0.34863698430365175,0.7309827172525671
DELTA-53-909,2483d0a62bbb29479fe9a719ba809711,1995-08-11,31,Male,Mid-Career,The Digital Native,community_bond,Church potluck where strangers became family over shared stories that winter changed everything.,17,0.8997710981848868,0.9678715347304987,0.23494105133057921,1.0,0.4396354116196798,0.40950393010821956,68.95577610658646,Standard,0.4,0.4,0.95,0.5000076500456623,0.706556360798432
DELTA-86-361,d6c53da942344a3034a6bae50749d459,1968-01-01,58,Male,Late Career,The Disillusioned Artist,discovery,First time coding 'Hello World' and feeling infinite possibility on a Tuesday I'll never forget.,17,0.8368190485403777,0.4736983282864594,0.31556734986596613,0.25672081216186426,0.5213676074354969,0.7259090430604602,48.19990041136762,Elevated,0.3,0.2,0.6,0.7794406789755102,0.7916747775473649
OMEGA-48-498,b98dce52b8a010ceaa6c1fb467777ced,1991-04-14,35,Female,Mid-Career,The Digital Native,personal_failure,"Failing the exam everyone expected me to ace, learning humility during the autumn of my youth.",19,0.809647729745792,0.6095133066016147,0.35703960873918106,0.5507506207943746,0.5061423497307403,0.6999819105629951,51.5933503353025,Standard,0.4,0.4,0.95,0.8809425029133795,0.47612165942363904
DELTA-32-665,ec718b7f6115b50f43e1b5a7287c45c8,1980-06-06,46,Female,Late Career,The Digital Native,personal_failure,"Business collapsing in year one, rebuilding from zero in the summer of '98.",22,0.6967139530229092,0.36323116036009534,0.6675344806741057,0.4410091223912971,0.47911594191341345,0.6439679890309302,40.92365539737087,Elevated,0.4,0.4,0.95,0.5377967978936293,0.20292635695330036
SIGMA-81-946,b588933dca37c540398f3c55344bb73a,1995-01-01,31,Male,Mid-Career,The Traditional Elder,community_bond,Entire neighborhood coming together after the storm damaged homes on a Tuesday I'll never forget.,6,0.8295199323732232,0.7979979214643386,0.19631031428797413,1.0,0.5119801700819616,0.3473662873510036,64.87504655244848,Standard,0.9,0.9,0.3,0.3807719109700284,0.32767254154411374
DELTA-96-778,18ab2aa7c9fb7a2cad8fc2509c75c649,1975-08-01,51,Male,Late Career,The Traditional Elder,personal_failure,"Failing the exam everyone expected me to ace, learning humility that winter changed everything.",14,0.9992408284345071,0.6742275479935658,0.6584491395981484,0.45903592412748495,0.5890728402033403,0.5441504197194396,56.04328655614966,Standard,0.9,0.9,0.3,0.7433688399466138,0.4448797822910715
ALPHA-55-890,72914040906cdb7515cd8225ec3f8555,1983-11-15,43,Female,Mid-Career,The Digital Native,early_loss,The family dog not waiting at the door when I came home from school that winter changed everything.,24,0.8134351265606986,0.2977677804332277,0.8018700192694004,0.48881491322493825,0.5823368904702725,0.5257033268420094,47.0894052740055,Elevated,0.4,0.4,0.95,0.7341235533163608,0.6534550644644581
BETA-65-357,489fd8c3b3f2c028961cfd7573d8f0ad,1978-12-28,48,Female,Late Career,The Traditional Elder,early_loss,Moving away before saying goodbye to my best friend at the station on a Tuesday I'll never forget.,12,0.8112677634185357,0.5076456282442487,0.6101536148475317,0.6380579434774344,0.42362315511371135,0.551736843346031,54.400175182601686,Standard,0.9,0.9,0.3,0.5005395601583966,0.37842623103701334
GAMMA-41-707,dccd5f9a5f14c0978ec22b116661e7b1,1949-06-24,77,Male,Retirement,The Traditional Elder,early_loss,Moving away before saying goodbye to my best friend at the station in the summer of '98.,16,0.6133379958356523,0.5161827553452911,0.8300525152330331,0.5248155766768625,0.6758765275802846,0.28953701407408317,54.69591123488393,Standard,0.9,0.9,0.3,0.682077243006284,0.5000014985216781
BETA-84-475,2e9e126b754429c824194e116b1bff52,1991-08-04,35,Male,Mid-Career,The Digital Native,personal_failure,"Failing the exam everyone expected me to ace, learning humility one spring morning.",12,0.814294431035572,0.43425246621610325,0.5757677692733572,0.47621269641826136,0.5415551145936658,0.6560890249598403,48.57292329800106,Elevated,0.4,0.4,0.95,0.733463364664106,0.5829789018270048
ALPHA-63-690,84c174efbe60bbc492bb4029a0de4696,1945-04-07,81,Female,Retirement,The Ambitious Entrepreneur,discovery,"Finding astronomy books in the attic, realizing how small we are during the autumn of my youth.",16,0.8924651478125343,0.5054307942969427,0.49042558239586914,0.4799042222178562,0.7864532176734216,1.0,49.22209035442477,Elevated,0.4,0.3,0.8,0.44417937479376457,0.527660742347872
OMEGA-52-841,e6268b606af79c5ef63b6204084732aa,1977-03-23,49,Female,Late Career,The Ambitious Entrepreneur,personal_failure,Losing the championship but gaining respect for sportsmanship that winter changed everything.,22,0.8748293955536712,0.6596643661547887,0.34980711800603204,0.6869921573339364,0.4439234024863228,0.892749989514418,56.507068381598366,Standard,0.4,0.3,0.8,0.5190304347447128,0.6005932465662362
OMEGA-72-685,821948e088d2e2716ce396fd36468db6,1984-03-17,42,Male,Mid-Career,The Digital Native,childhood_triumph,The day I won the spelling bee while my father watched from the back row during the autumn of my youth.,16,0.8106440019535457,0.7700653517685168,0.24687370736203612,0.5808022293800944,0.6143954213953964,0.6690161668000807,57.52191206877335,Standard,0.4,0.4,0.95,0.673165007340089,0.627238106180106
OMEGA-51-723,547284376b799cf73f47216cae4f237c,1999-03-21,27,Male,Early Career,The Disillusioned Artist,childhood_triumph,"Scoring the winning goal in rain-soaked mud, teammates lifting me up in the summer of '98.",24,0.779800571748182,0.6510175934212348,0.32118517355679915,0.39078725277130894,0.6360262380869784,0.5286003992880504,47.22562682835578,Elevated,0.3,0.2,0.6,0.4084570302906603,0.3562310778907629
ALPHA-75-285,7e057b35ce4ed2bc6d3c9268b14514de,1985-06-10,41,Male,Mid-Career,The Ambitious Entrepreneur,discovery,"Finding astronomy books in the attic, realizing how small we are that winter changed everything.",14,0.6725225635029443,0.30920688610976654,0.35294435956998754,0.3535096382417813,0.8881498847754645,0.9704159116245002,47.49981162637536,Elevated,0.4,0.3,0.8,0.7643272960645666,0.8008686220368875
SIGMA-43-900,7587248aae0c8ce39af35de98eb0da98,1982-11-13,44,Male,Mid-Career,The Digital Native,personal_failure,Losing the championship but gaining respect for sportsmanship in the summer of '98.,25,0.6135424542668467,0.6189382224294495,0.30866562897815464,0.5828522416155077,0.42096998106752015,0.6778106881604038,53.37843335155897,Standard,0.4,0.4,0.95,0.5358405825190177,0.5504590185824911
ALPHA-49-816,fa327ea88e38984ba15c550ebc13dab5,1986-11-07,40,Female,Mid-Career,The Disillusioned Artist,early_loss,"Grandmother's garden empty after she passed, roses still blooming that winter changed everything.",21,0.8021725643274173,0.32829736146930566,0.766717902099602,0.5950701589060318,0.5481083095856559,0.3935132251479467,50.29865773122074,Standard,0.3,0.2,0.6,0.6613776988107649,0.7871105412162771
OMEGA-57-629,e387c4cbf1e4c7398109e8286c681b36,2001-07-18,25,Female,Early Career,The Stoic Engineer,childhood_triumph,"Building my first radio from scrap parts, hearing static turn to music during the autumn of my youth.",20,0.6875813149107741,0.7674464453006964,0.38642636621271,0.47307829200398593,0.8230002476987618,0.674219665789989,60.83861806188568,Standard,0.9,0.8,0.9,0.7911526717428676,0.626234318387465
GAMMA-91-548,fd5cd0b75e337adf8680596182cb1995,2006-10-08,20,Female,Student,The Ambitious Entrepreneur,community_bond,Entire neighborhood coming together after the storm damaged homes one spring morning.,18,0.7298040044369098,0.9514157049231116,0.36805174263978274,1.0,0.34085985430531396,0.3346445349914131,70.43922484665057,Low-Risk,0.4,0.3,0.8,0.4779325621049668,0.8273940498792229
OMEGA-67-315,791eaebd968bdc53a6d9341fa5ddc438,2008-06-01,18,Female,Student,The Ambitious Entrepreneur,community_bond,Church potluck where strangers became family over shared stories one spring morning.,11,0.7356268931720826,0.8822884054319694,0.176554396516996,1.0,0.6479763472221771,0.6844737897814315,64.85714723987044,Standard,0.4,0.3,0.8,0.4860611551316313,0.5474252754154034
BETA-46-601,39ca3cbe3327e367f46f3bc96d3c155f,1998-05-01,28,Female,Early Career,The Digital Native,early_loss,The family dog not waiting at the door when I came home from school in the summer of '98.,11,0.6052515354039109,0.25465486529378595,0.8273109570154458,0.5798419231106753,0.33161193111383985,0.3487852568680174,43.538174718712696,Elevated,0.4,0.4,0.95,0.40889474468612386,0.3831632377451232
ALPHA-84-345,f19b806b2c56ca38977ef7bc8bb86060,1957-04-23,69,Female,Pre-Retirement,The Community Builder,childhood_triumph,The day I won the spelling bee while my father watched from the back row one spring morning.,21,0.6453864240814772,0.8120328105824917,0.30221486954562315,0.5349437894519756,0.7749475871852598,0.5575757876792334,63.2136699069779,Standard,0.7,0.5,0.5,0.30081999424275874,0.7965904569032287
OMEGA-98-280,7c3ea218f5b190f931cb98e52e72d978,1997-03-16,29,Male,Early Career,The Ambitious Entrepreneur,discovery,"Finding astronomy books in the attic, realizing how small we are one spring morning.",22,0.6946377284042244,0.5895784659088443,0.30846378703711524,0.3846045642771838,0.5918135887375443,0.8933490432254908,47.05925430269172,Elevated,0.4,0.3,0.8,0.646804989918704,0.36657443469047235
ALPHA-23-439,af441577f6ce1f8330f640c75722e837,1998-04-04,28,Female,Early Career,The Stoic Engineer,discovery,Stumbling upon hidden jazz records that changed my taste forever in the summer of '98.,17,0.8369112915393657,0.4742952511454094,0.5838590024788819,0.537939592989478,0.6978004763544661,1.0,50.49662148572873,Standard,0.9,0.8,0.9,0.41229341203202596,0.2627748378652253
DELTA-52-996,3a9dce5b8d17f6f2824c0e57a6d0c082,1964-05-17,62,Male,Pre-Retirement,The Stoic Engineer,community_bond,Protest march where I felt part of something larger than myself in the summer of '98.,8,0.9806186955062389,0.8711926627888793,0.4895228055819846,1.0,0.6122179891502335,0.4497374449460019,73.04236805456875,Low-Risk,0.9,0.8,0.9,0.8008346799434305,0.7745676532527448
BETA-26-244,c17a86ed50f1453354b067901afac380,1962-12-10,64,Female,Pre-Retirement,The Traditional Elder,community_bond,Church potluck where strangers became family over shared stories in the summer of '98.,22,0.8763011910344405,0.9862822387358205,0.34072389436238104,0.9688747862718302,0.5932506246404721,0.34414095371389414,72.50695757387776,Low-Risk,0.9,0.9,0.3,0.5913180139352205,0.6165460670055924
EPSILON-75-155,93159e8c3fded009f50a4ddb35b26a18,1987-06-25,39,Female,Mid-Career,The Community Builder,early_loss,Moving away before saying goodbye to my best friend at the station on a Tuesday I'll never forget.,18,0.6874624078005883,0.49819413140500246,0.6560920311683117,0.7931512774531454,0.48621505869830184,0.49648438656449806,52.40587410128052,Standard,0.7,0.5,0.5,0.751819324869285,0.2363148207588853
