task_id,citizen_id,task_type,trigger_observation,content,platform,ethical_guardrail,requires_approval,user_approved,executed,premium_impact,detected_risk
TASK-21174,DELTA-19-630,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,False,False,-3.0,
TASK-44202,DELTA-19-630,sns_post,User is sedentary for 8+ hours,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-94862,DELTA-53-909,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-22577,DELTA-53-909,sns_post,User is in heated argument,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-56004,DELTA-53-909,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-22982,DELTA-86-361,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-46872,DELTA-86-361,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-68999,DELTA-86-361,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-98190,OMEGA-48-498,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-22629,OMEGA-48-498,amazon_purchase,User is making impulse purchases,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-67152,OMEGA-48-498,policy_analysis,User is gambling online,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-51577,DELTA-32-665,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-86859,DELTA-32-665,sns_post,User is exercising at gym,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-24406,DELTA-32-665,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-68722,SIGMA-81-946,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,False,False,-3.0,
TASK-82509,SIGMA-81-946,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-92907,SIGMA-81-946,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-33146,DELTA-96-778,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-20383,DELTA-96-778,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-15277,DELTA-96-778,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-25404,ALPHA-55-890,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-82275,ALPHA-55-890,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-44912,ALPHA-55-890,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-25519,BETA-65-357,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-29110,BETA-65-357,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-65490,BETA-65-357,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-99139,GAMMA-41-707,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-27846,GAMMA-41-707,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-29145,GAMMA-41-707,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-99607,BETA-84-475,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-83515,BETA-84-475,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-75459,BETA-84-475,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-23364,ALPHA-63-690,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-90586,ALPHA-63-690,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-91529,ALPHA-63-690,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-39519,OMEGA-52-841,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-98967,OMEGA-52-841,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-30104,OMEGA-52-841,google_maps_search,User skipped meals entirely,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-15221,OMEGA-72-685,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-59439,OMEGA-72-685,policy_analysis,User is gambling online,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-43057,OMEGA-72-685,policy_analysis,User is gambling online,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-14864,OMEGA-51-723,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-42276,OMEGA-51-723,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-19590,OMEGA-51-723,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-94558,ALPHA-75-285,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-94323,ALPHA-75-285,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-60841,ALPHA-75-285,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-97769,SIGMA-43-900,google_maps_search,User skipped meals entirely,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-42302,SIGMA-43-900,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,False,False,-2.0,
TASK-81322,SIGMA-43-900,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-96679,ALPHA-49-816,policy_analysis,User is distracted while driving,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-77834,ALPHA-49-816,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-97255,ALPHA-49-816,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-10000,OMEGA-57-629,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-85980,OMEGA-57-629,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-48498,OMEGA-57-629,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-79225,GAMMA-91-548,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-31257,GAMMA-91-548,sns_post,User is sedentary for 8+ hours,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-55400,GAMMA-91-548,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-59684,OMEGA-67-315,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-56021,OMEGA-67-315,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-82538,OMEGA-67-315,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-51968,BETA-46-601,google_maps_search,User skipped meals entirely,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-47110,BETA-46-601,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-64483,BETA-46-601,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-36220,ALPHA-84-345,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-10935,ALPHA-84-345,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-84264,ALPHA-84-345,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-85333,OMEGA-98-280,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-57755,OMEGA-98-280,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-22895,OMEGA-98-280,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-79425,ALPHA-23-439,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-60340,ALPHA-23-439,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-29184,ALPHA-23-439,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-55503,DELTA-52-996,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-56276,DELTA-52-996,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-51501,DELTA-52-996,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-13451,BETA-26-244,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-58181,BETA-26-244,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-61598,BETA-26-244,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-17954,EPSILON-75-155,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-47074,EPSILON-75-155,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-21665,EPSILON-75-155,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
